,Date,Open,Volume,cases,deaths,c_dif,d_dif,o_dif,sc,so
281,2021-03-04,3.45,14946600,28872395,520028,670.0,-420.0,0.20999999999999996,1.0,1.0
282,2021-03-05,4.07,40429700,28938090,522511,-1587.0,534.0,0.6200000000000001,-1.0,1.0
283,2021-03-08,4.6,8908000,29129252,525466,125467.0,472.0,0.5299999999999994,1.0,1.0
284,2021-03-09,4.2,7390400,29185151,527351,-135263.0,-1070.0,-0.39999999999999947,-1.0,-1.0
285,2021-03-10,3.9,5806500,29243346,528825,2296.0,-411.0,-0.30000000000000027,1.0,-1.0
286,2021-03-11,4.12,3638900,29305733,530349,4192.0,50.0,0.2200000000000002,1.0,1.0
287,2021-03-12,4.19,2689100,29369899,532054,1779.0,181.0,0.07000000000000028,1.0,1.0
288,2021-03-15,4.18,3037100,29514609,535246,80544.0,1487.0,-0.010000000000000675,1.0,-1.0
289,2021-03-16,4.14,3550200,29569140,536491,-90179.0,-1947.0,-0.040000000000000036,-1.0,-1.0
290,2021-03-17,4.08,3063800,29628071,537668,4400.0,-68.0,-0.05999999999999961,1.0,-1.0
291,2021-03-18,3.96,5174100,29688541,539226,1539.0,381.0,-0.1200000000000001,1.0,-1.0
292,2021-03-19,3.74,3652300,29749164,540740,153.0,-44.0,-0.21999999999999975,1.0,-1.0
293,2021-03-22,3.93,3303600,29892498,542608,82711.0,354.0,0.18999999999999995,1.0,1.0
294,2021-03-23,3.63,3035100,29949244,543501,-86588.0,-975.0,-0.30000000000000027,-1.0,-1.0
295,2021-03-24,3.62,3374400,30029147,545091,23157.0,697.0,-0.009999999999999787,1.0,-1.0
296,2021-03-25,3.58,2616500,30098263,546361,-10787.0,-320.0,-0.040000000000000036,-1.0,-1.0
297,2021-03-26,3.75,3538100,30172762,547621,5383.0,-10.0,0.16999999999999993,1.0,1.0
298,2021-03-29,3.74,2940400,30348716,549576,101455.0,695.0,-0.009999999999999787,1.0,-1.0
299,2021-03-30,3.57,2166000,30410950,550523,-113720.0,-1008.0,-0.17000000000000037,-1.0,-1.0
300,2021-03-31,3.6,1981900,30478886,551658,5702.0,188.0,0.03000000000000025,1.0,1.0
301,2021-04-01,3.63,3900100,30556079,552615,9257.0,-178.0,0.029999999999999805,1.0,1.0
302,2021-04-05,3.78,3177700,30802221,555126,168949.0,1554.0,0.1499999999999999,1.0,1.0
303,2021-04-06,3.62,3442900,30864193,556035,-184170.0,-1602.0,-0.1599999999999997,-1.0,-1.0
304,2021-04-07,3.6,2044500,30937283,558606,11118.0,1662.0,-0.020000000000000018,1.0,-1.0
305,2021-04-08,3.59,2119000,31017741,559608,7368.0,-1569.0,-0.010000000000000231,1.0,-1.0
306,2021-04-09,3.51,1921600,31099323,560554,1124.0,-56.0,-0.08000000000000007,1.0,-1.0
